AAPL,ABBV,AMD,AMZN,AVGO,AXP,BAC,BKR.B,CAT,COST,CSCO,CVX,GE,GOOGL,GS,HD,IBM,JNJ,JPM,KO,LLY,MA,META,MS,MSFT,MU,NFLX,NVDA,ORCL,PG,PLTR,QQQ,SPY,TSLA,UNH,V,WFC,WMT,XOM
184.85037231445312,151.96678161621094,150.55999755859375,186.57000732421875,131.07359313964844,233.5331573486328,36.46868133544922,,347.88189697265625,767.9588623046875,46.197349548339844,150.9150848388672,157.6073760986328,167.75350952148438,434.76348876953125,324.4854736328125,159.74652099609375,142.5478973388672,190.52027893066406,59.994476318359375,747.2759399414062,452.4101257324219,464.858642578125,93.75843811035156,407.46588134765625,122.14323425292969,61.659000396728516,90.34800720214844,113.94156646728516,158.5696258544922,20.940000534057617,438.2667541503906,508.5338439941406,171.88999938964844,489.8714294433594,275.2610168457031,58.872318267822266,59.4133186340332,110.27120208740234
185.99151611328125,152.25889587402344,153.16000366210938,187.07000732421875,135.240478515625,236.35140991210938,36.735931396484375,,349.3449401855469,770.6835327148438,46.45357894897461,150.07122802734375,158.1014404296875,168.9436798095703,439.4700012207031,324.0477600097656,159.55584716796875,142.69871520996094,193.1854248046875,59.54153823852539,753.4696655273438,448.8917236328125,468.6727294921875,94.53849029541016,410.26300048828125,123.94062805175781,61.36600112915039,91.30447387695312,118.34765625,158.46444702148438,21.440000534057617,441.0858154296875,510.8670959472656,177.5500030517578,491.91998291015625,273.6353454589844,59.47776412963867,58.872398376464844,110.9405746459961
188.26394653320312,154.3318328857422,159.6699981689453,185.99000549316406,140.74209594726562,236.51776123046875,37.13678741455078,,351.1590881347656,779.7385864257812,47.13685607910156,149.5575714111328,161.53024291992188,171.0959014892578,446.7742004394531,331.8229675292969,160.4138641357422,143.9147491455078,193.7606658935547,59.56985092163086,777.515625,452.6473388671875,478.2974853515625,95.6229476928711,417.4360046386719,126.91973114013672,61.35200119018555,94.57662200927734,119.0917739868164,159.18141174316406,21.670000076293945,447.9800720214844,517.1931762695312,173.99000549316406,495.43310546875,277.3397521972656,59.91022491455078,58.842899322509766,111.79854583740234
188.38304138183594,154.85951232910156,162.6199951171875,183.6300048828125,138.38619995117188,236.1459197998047,37.43265914916992,,342.06890869140625,785.7127685546875,45.87468719482422,149.25181579589844,159.20814514160156,172.752197265625,445.2692565917969,326.1700134277344,161.09078979492188,145.432373046875,194.10577392578125,59.7491340637207,761.8076782226562,453.50714111328125,470.0434875488281,94.72874450683594,415.3738708496094,126.99918365478516,61.051998138427734,94.30577850341797,119.61073303222656,160.47203063964844,21.649999618530273,447.0700988769531,516.1289672851562,174.83999633789062,498.99420166015625,276.21453857421875,58.680110931396484,62.95393371582031,111.129150390625
188.41281127929688,156.80996704101562,164.47000122070312,184.6999969482422,136.73593139648438,237.61375427246094,37.499473571777344,,347.4820556640625,788.4271850585938,45.713356018066406,150.7156982421875,157.99273681640625,174.61679077148438,448.336669921875,327.5784606933594,161.14797973632812,145.77175903320312,196.32992553710938,59.475486755371094,760.7012329101562,454.8907775878906,468.7323913574219,95.33757019042969,414.6042785644531,124.41728210449219,62.11000061035156,92.42682647705078,120.92276000976562,160.26171875,21.760000228881836,446.8525085449219,516.8709106445312,177.4600067138672,502.2105712890625,276.4711608886719,58.6993408203125,63.583370208740234,112.79792022705078
189.57383728027344,155.057373046875,166.3300018310547,183.5399932861328,138.5723876953125,237.10491943359375,37.050880432128906,,353.8022155761719,785.643310546875,44.72639846801758,149.29812622070312,157.3899688720703,175.4697723388672,443.7547302246094,321.4972229003906,161.99649047851562,143.7476806640625,187.50042724609375,59.04142761230469,773.7219848632812,454.2879638671875,465.6830139160156,95.44221496582031,419.6658935546875,128.1014404296875,64.08200073242188,94.72654724121094,121.92147064208984,159.9462432861328,21.6200008392334,449.9682312011719,517.4664916992188,174.9499969482422,495.1268005371094,274.9313659667969,58.334144592285156,63.121124267578125,111.8833999633789
190.873779296875,153.52151489257812,164.66000366210938,183.14999389648438,137.1190643310547,237.8681640625,37.84306335449219,,350.2129821777344,793.499755859375,44.546085357666016,148.214111328125,159.089599609375,176.39210510253906,450.91522216796875,319.90789794921875,165.3809356689453,143.71917724609375,191.2776641845703,59.36225891113281,793.4705810546875,453.7344970703125,461.5013427734375,96.58374786376953,423.3165283203125,126.61189270019531,65.06099700927734,95.33219909667969,122.02918243408203,160.94046020507812,21.239999771118164,450.8486022949219,518.7354736328125,186.60000610351562,501.1767272949219,272.37493896484375,59.06452560424805,64.07511901855469,111.11029052734375
189.43492126464844,150.39321899414062,165.52000427246094,183.1300048828125,136.43702697753906,234.94227600097656,37.94804382324219,,347.1601867675781,794.421142578125,45.0111083984375,145.99049377441406,158.90184020996094,174.93417358398438,443.21795654296875,314.6166076660156,165.59068298339844,145.86679077148438,190.11764526367188,59.447181701660156,793.2136840820312,451.1846008300781,464.630126953125,95.83222198486328,424.7767639160156,125.400390625,64.0469970703125,94.89643859863281,121.99981689453125,160.42420959472656,21.170000076293945,450.7595520019531,517.2418823242188,180.11000061035156,499.07073974609375,272.00970458984375,58.55517578125,64.17346954345703,108.8758316040039
185.44577026367188,149.1211700439453,160.42999267578125,181.0500030517578,136.53994750976562,230.41156005859375,37.38494110107422,,342.0494384765625,788.952392578125,44.22343063354492,145.4067840576172,163.29901123046875,172.12738037109375,439.1632385253906,311.0953063964844,162.71151733398438,142.25572204589844,188.78506469726562,58.588497161865234,798.6868896484375,445.9366760253906,462.6435852050781,94.10089874267578,421.3037414550781,125.39046478271484,63.56700134277344,103.7404556274414,121.50045013427734,158.20632934570312,20.719999313354492,448.7318115234375,513.4638671875,173.74000549316406,494.743896484375,270.67724609375,57.353904724121094,63.77022933959961,107.01850128173828
188.52197265625,147.990478515625,166.36000061035156,180.75,137.96580505371094,233.0732421875,37.890785217285156,,340.2938537597656,802.2180786132812,44.05260467529297,146.15724182128906,165.344482421875,173.5555877685547,442.06768798828125,309.3918151855469,162.9212646484375,139.6614990234375,192.4185028076172,58.50357437133789,797.6790771484375,445.906982421875,474.9998474121094,94.14846801757812,424.42156982421875,128.58802795410156,64.67500305175781,106.40895080566406,120.3450927734375,158.05335998535156,21.010000228881836,452.9752197265625,516.8611450195312,179.24000549316406,486.4540100097656,270.933837890625,57.86323928833008,64.30131530761719,106.93363189697266
